"7520-01-483-8901","Office Supplies & Paper Special Order","Rotary Paper Cutter","Features a 37"" wood base. The ""Safety First"" cutter offers precision trimming for lightweight materials, including tissue paper, blueprint paper, posterboard, Mylar and film. Cuts up to eight sheets of 20-lb. basis weight paper at a time. Rotary paper cut",240.84,"EA","H"
"7520-01-483-8902","Office Supplies & Paper Special Order","Rotary Paper Cutter","Features a 18"" metal base. The ""Safety First"" paper cutter features a lightweight cutting board and a totally enclosed razor-sharp rotary blade that is self-sharpening. Blade cuts in both directions. Clear paper clamp holds paper securely.",71.97,"EA","H"
"7520-01-483-8904","Office Supplies & Paper Special Order","Rotary Paper Cutter","Features a 12-1/2"" metal base. The ""Safety First"" paper cutter features a lightweight cutting board and a totally enclosed razor-sharp rotary blade that is self-sharpening. Blade cuts in both directions. Clear paper clamp holds paper securely.",58.1,"EA","H"
"7520-01-483-8993","Office Supplies & Paper Special Order","Desk Calendar Stand","For use with 3 x 3-3/4"" regular-style refill. Metal or plastic base features removable arch-shaped wires for use with loose-leaf, flip-style calendars. Features non-marking protective shoes.",4.44,"EA","H"
"7520-01-483-8994","Office Supplies & Paper Special Order","Desk Calendar Stand","For use with 3-1/2 x 5-1/2"" executive-style refill. Metal or plastic base features removable arch-shaped wires for use with loose-leaf, flip-style calendars. Features non-marking protective shoes.",3.68,"EA","H"
"7520-01-484-0013","Office Supplies & Paper Special Order","Fluorescent Highlighter Set","SKILCRAFT pocket highlighter. Rubberized barrel for ergonomic writing comfort. Chisel point with fluorescent highlighting ink.  Ink color matches pen highlights. Writes 300 meters. The six-pack includes three yellow and one each of green, blue, and pink p",6.03,"PG","H"
"7520-01-484-0014","Office Supplies & Paper Special Order","RubberStamp Kit","Office tile stamps are pre-inked and re-inkable and need no stamp pad. Stamps produce clear, legible messages for up to 50,000 impressions. Soft touch grip handle for stamping comfort and ease. Kit contains 4 stamps: 1 each of ""SECRET"", ""TOP SECRET"", ""CLA",18.39,"KT","H"
"7520-01-484-0020","Office Supplies & Paper Special Order","Combo Pen and Highlighter","Pocket highlighter combined with a black ballpoint pen. Pen features a ballpoint, black medium ink. Highlighter has chisel point with fluorescent yellow ink and pocket clip. 18-month maximum shelf life (extendable).",25.24,"DZ","H"
"7520-01-484-0021","Office Supplies & Paper Special Order","Illusion Pen &  Pencil Set","Bold classical Rosewood body with gold colored pocket clip and accents.  Ballpoint pen features twist-action mechanism to advance the medium writing point with black ink.  Mechanical pencil features twist-action mechanism  to advance the 0.5mm lead which ",36.96,"SE","H"
"7520-01-484-4575","Office Supplies & Paper Special Order","Pen, Executive, In-Puria Tri-Wood, Ballpoint","Manutacturer's part number 7520-00-NIB-1236 Inpuria Tri-Wood ballpoint pen with a variety of clors in its wooden construction.  Pen features a twist-action mechanism to advance the medium writing point with black ink. 18-month maximum shelf life (extendab",42.91,"EA","H"
"7520-01-484-4577","Office Supplies & Paper Special Order","Inpuria Tri-Wood Pen & Pencil Set","Manafurer's part number is 7520-00-NIB-1292 Inpuria tri-wood pen and pencil set includes matching wood case.  Pen features  twist-action mechanism to advance the medium writing point with black ink.  Pencil features twist-action mechanism to advance the 0",66.68,"SE","H"
"7520-01-484-4579","Office Supplies & Paper Special Order","Bookends","Product features non-skid, padded base which protects surfaces and prevents slippage. Steel bookends feature radius styling with a unique powder-coat finish.",18.63,"PR","H"
"7520-01-484-4581","Office Supplies & Paper Special Order","Bookends","Product features non-skid, padded base which protects surfaces and prevents slippage. Steel bookends feature radius styling with a unique powder-coat finish.",16.91,"PR","H"
"7520-01-484-5250","Office Supplies & Paper Special Order","Alpha Gel Pen","Non-retractable, refillable water-based pigment gel ink pen. Smooth writing performance that won't fade or bleed. Clear barrel is comfortable to hold and shows amount of ink remaining. Locking cap with cushioned pad prevents dry-out and protects metal tip",9.82,"DZ","H"
"7520-01-484-5252","Office Supplies & Paper Special Order","Alpha Gel Pen","Non-retractable, refillable water-based pigment gel ink pen. Smooth writing performance that won't fade or bleed. Clear barrel is comfortable to hold and shows amount of ink remaining. Locking cap with cushioned pad prevents dry-out and protects metal tip",9.82,"DZ","H"
"7520-01-484-5253","Office Supplies & Paper Special Order","Alpha Gel Pen","Non-retractable, refillable water-based pigment gel ink pen. Smooth writing performance that won't fade or bleed. Clear barrel is comfortable to hold and shows amount of ink remaining. Locking cap with cushioned pad prevents dry-out and protects metal tip",12.5,"DZ","H"
"7520-01-484-5254","Office Supplies & Paper Special Order","MD Executive Grip Pen","Black barrel. MD Executive-style, retractable ballpoint pen features a revolutionary extra-wide body and rubber cushioned grip which scientifically reduces the needed gripping power.  Wide-bodied, rubberized comfort grip pens help to relieve writing fatig",5.64,"EA","H"
"7520-01-484-5255","Office Supplies & Paper Special Order","MD Ergo Grip Pen","Features a burgundy finish. Wide body ballpoint pen is ergonomically balanced and weighted to reduce gripping tension.  The soft contoured rubber grip provides added comfort and control.",5.34,"EA","H"
"7520-01-484-5256","Office Supplies & Paper Special Order","MD Ergo Grip Pen","Features a blue finish. Wide body ballpoint pen is ergonomically balanced and weighted to reduce gripping tension.  The soft contoured rubber grip provides added comfort and control.",5.34,"EA","H"
"7520-01-484-5259","Office Supplies & Paper Special Order","MD Executive Grip Pen","Burgundy barrel. MD Executive-style, retractable ballpoint pen features a revolutionary extra-wide body and rubber cushioned grip which scientifically reduces the needed gripping power.  Wide-bodied, rubberized comfort grip pens help to relieve writing fa",6.76,"EA","H"
"7520-01-484-5261","Office Furniture","In-Out Dry Erase Schedule Board","In/Out easel wallboard features a durable magnetic painted steel surface, accommodates up to 14 persons.  For use with any dry erase markers or magnetic accessories.  Includes one magnetic black dry erase marker with eraser cap and magnets per each person",36.48,"EA","H"
"7520-01-484-5263","Office Furniture","Calendar Planner","Silk-screened monthly calendar planner for scheduling office events. Wallboard features a smooth, melamine finish for brilliant dry erase marker colors and easy clean up. Board comes with an office decor aluminum frame.  Wall hangers and instructions are ",55.46,"EA","H"
"7520-01-484-5266","Office Supplies & Paper Special Order","Recycled Mini-Stick Pen","Mini-Stick pen made from 51% post consumer recycled polystyrene.  This pen is four inches long.  Ink color is black and is supplied with a medium point.",16.89,"HD","H"
"7520-01-484-5267","Office Supplies & Paper Special Order","AlphaBasic Ballpoint Pen","Ballpoint pen with a round barrel provides for a comfortable writing instrument. The tough tungsten-carbide point delivers smooth writing without skipping. Pen is lightweight, disposable and economical. White barrel and cap color matches ink.",2.35,"DZ","H"
"7520-01-484-5270","Office Supplies & Paper Special Order","AlphaBasic Ballpoint Pen","Ballpoint pen with a round barrel provides for a comfortable writing instrument. The tough tungsten-carbide point delivers smooth writing without skipping. Pen is lightweight, disposable and economical. White barrel and cap color matches ink.",1.97,"DZ","H"
"7520-01-484-5271","Office Supplies & Paper Special Order","Vista Cushion Grip Ballpoint Pen","Vista Cushion Grip pen features round transparent barrel. Ink cartridge is replaceable, and cap and pocket clip are provided.",14.15,"DZ","H"
"7520-01-484-5272","Office Supplies & Paper Special Order","Vista Cushion Grip Ballpoint Pen","Vista Cushion Grip pen features round transparent barrel. Ink cartridge is replaceable, and cap and pocket clip are provided.",15.23,"DZ","H"
"7520-01-492-8463","Office Supplies & Paper Special Order","LVX Ink Gripper Pen","Retractable, ball point pen in assorted neon colors has a rubberized grip for added writing comfort and better control. Contains low viscosity ink for a smoother writing line. Box includes 4 each: green, yellow and pink.",7.9,"BX","H"
"7520-01-492-8464","Office Supplies & Paper Special Order","LVX Ink Gripper Pen","Retractable, ball point pen in assorted neon colors has a rubberized grip for added writing comfort and better control. Contains low viscosity ink for a smoother writing line. Box includes 4 each: green, yellow and pink.",7.9,"BX","H"
"7520-01-493-6006","Office Supplies & Paper Special Order","Personal Desk Kit","Ideal for telecommuters, temporary assignments, training classes, new hires and people who work at home. This kit collects 21 essential office products in one convenient unit. Includes: 3 x 3"" self-stick note pad; 100 paper clips; 4-oz. bag  of rubber ban",40.6,"KT","H"
"7520-01-494-0907","Office Supplies & Paper Special Order","Liquid Magnus Rollerball","Liquid Magnus rollerball pen features a visible ink supply within the barrel that allows users to monitor ink level. Ink color indicated on end caps of pen. Translucent cap with metal clip, silver barrel color. Non-refillable/non-retractable. 18-month max",18.98,"DZ","H"
"7520-01-494-0908","Office Supplies & Paper Special Order","Liquid Magnus Rollerball","Liquid Magnus rollerball pen features a visible ink supply within the barrel that allows users to monitor ink level. Ink color indicated on end caps of pen. Translucent cap with metal clip, silver barrel color. Non-refillable/non-retractable. 18-month max",17.6,"DZ","H"
"7520-01-496-5473","Office Furniture","Erasable Wall Calendar (Yearly)","Features ful color agency logo located at top with screened image of logo located in the body of the calendar.  Month and date boxes are blank for reuse. Includes black fine point erasable marker. 12-month per view calendar.",21.4,"EA","H"
"7520-01-496-5474","Office Furniture","Calendar, Planner","Erasable Custom 30 Day Calendar, Planner, undated, can be customized with your agency's logo, has 3 3/4 inch x 3 1/4 inch write-in boxes, write on-wipe off surface, dry erase black marker included.",21.4,"EA","H"
"7520-01-496-5475","Office Furniture","Erasable Custom Wall Calendar","36"" x 24"", Blank Planner.  Erasable calendar has full color agency logo located at the top with 10% screened image logo located in the body of the calendar.  Month and date boxes are blank for reuse.  Includes one blank fine point erasable marker.  Horizo",21.4,"EA","H"
